User_ID   s_time    e_time    cnt       Request_Count     Finish_Time    Time_Diff      Avg_Batch_Size
----------------------------------------------------------------------------------------------------
306       1813      1868      1         1                 1834           -34            1.00
25        3721      3778      1         1                 3733           -45            1.00
388       3921      3980      1         1                 3937           -43            1.00
379       3284      3341      1         1                 3300           -41            1.00
127       3407      3464      1         1                 3422           -42            1.00
365       4201      4259      1         1                 4213           -46            1.00
362       4007      4063      1         1                 4022           -41            1.00
44        1870      1926      1         1                 1883           -43            1.00
331       2781      2836      1         1                 2793           -43            1.00
323       1315      1373      1         1                 1335           -38            1.00
315       1940      1997      1         1                 1962           -35            1.00
112       2630      2685      1         1                 2651           -34            1.00
255       2330      2385      1         1                 2347           -38            1.00
238       3824      3884      1         1                 3843           -41            1.00
226       2210      2265      1         1                 2225           -40            1.00
216       3661      3716      1         1                 3672           -44            1.00
207       5228      5283      1         1                 5250           -33            1.00
195       1883      1941      1         1                 1902           -39            1.00
178       3197      3253      1         1                 3212           -41            1.00
97        607       664       1         1                 626            -38            1.00
104       4908      4964      1         1                 4925           -39            1.00
499       1718      1776      1         1                 1739           -37            1.00
495       3321      3376      1         1                 3334           -42            1.00
486       4469      4524      1         1                 4480           -44            1.00
483       3730      3787      1         1                 3751           -36            1.00
480       3645      3700      1         1                 3659           -41            1.00
466       4354      4409      1         1                 4370           -39            1.00
18        4343      4402      1         1                 4361           -41            1.00
203       3003      3144      18        2                 3042           -102           9.00
387       3256      3726      94        6                 3371           -355           15.67
444       3917      4610      100       8                 4080           -530           12.50
15        2405      3306      117       8                 2538           -768           14.62
308       2334      3200      121       10                2491           -709           12.10
278       3322      4107      157       10                3487           -620           15.70
193       2099      2939      168       12                2311           -628           14.00
11        3747      5354      188       14                3951           -1403          13.43
144       3283      4685      188       13                3433           -1252          14.46
156       2368      3757      218       16                2649           -1108          13.62
389       4810      6033      219       17                5180           -853           12.88
299       5690      7476      252       21                5930           -1546          12.00
180       3340      5108      306       23                3634           -1474          13.30
153       4804      6384      316       21                5050           -1334          15.05
479       3360      4965      321       21                3707           -1258          15.29
432       2562      5571      323       27                3118           -2453          11.96
155       2704      5606      328       25                3147           -2459          13.12
60        3038      4703      333       23                3325           -1378          14.48
121       3750      5595      369       30                4334           -1261          12.30
230       2745      4665      384       30                3149           -1516          12.80
294       3569      5993      391       32                4262           -1731          12.22
496       2474      6111      446       46                3473           -2638          9.70
146       2904      6308      448       33                3466           -2842          13.58
333       2979      7476      458       33                3816           -3660          13.88
471       2927      5342      468       39                3602           -1740          12.00
71        2790      5347      498       35                3195           -2152          14.23
148       4931      7496      513       39                5455           -2041          13.15
296       4740      7345      521       35                5244           -2101          14.89
464       2301      5051      550       39                3061           -1990          14.10
24        3272      6106      555       41                3826           -2280          13.54
187       1491      4963      563       34                1961           -3002          16.56
177       4498      8639      595       42                5240           -3399          14.17
109       2666      5666      600       45                3331           -2335          13.33
394       2708      6377      602       55                3754           -2623          10.95
248       4419      7464      609       48                5026           -2438          12.69
167       2923      6140      610       50                3690           -2450          12.20
157       2554      6618      613       43                3340           -3278          14.26
318       3919      7847      631       44                4552           -3295          14.34
53        2793      5958      633       45                3561           -2397          14.07
361       1983      5710      645       45                2510           -3200          14.33
